Date,火力（石炭）_認可出力,その他_認可出力,火力（ガス）_認可出力,原子力_認可出力,火力（石油）_認可出力,水力_認可出力,その他_停止状況,原子力_停止状況,水力_停止状況,火力（ガス）_停止状況,火力（石油）_停止状況,火力（石炭）_停止状況,原子力_廃止累計,火力（ガス）_廃止累計,火力（石油）_廃止累計,火力（石炭）_稼働状況,火力（石炭）_稼働率,火力（ガス）_稼働状況,火力（ガス）_稼働率,火力（石油）_稼働状況,火力（石油）_稼働率,水力_稼働状況,水力_稼働率,原子力_稼働状況,原子力_稼働率,その他_稼働状況,その他_稼働率
2023-04-01,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,1225000.0,500000.0,1177000.0,1,1,6,6315000.0,0.8428990923651896,4132000.0,0.7713272353929438,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-02,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,1225000.0,500000.0,1177000.0,1,1,6,6315000.0,0.8428990923651896,4132000.0,0.7713272353929438,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-03,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,1412500.0,500000.0,1177000.0,1,1,6,6315000.0,0.8428990923651896,3944500.0,0.7363263020347209,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-04,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,1412500.0,500000.0,1177000.0,1,1,6,6315000.0,0.8428990923651896,3944500.0,0.7363263020347209,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-05,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,456250.0,1412500.0,500000.0,1177000.0,1,1,6,6315000.0,0.8428990923651896,3944500.0,0.7363263020347209,0.0,0.0,1843750.0,0.8016304347826086,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-06,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,1412500.0,500000.0,1177000.0,1,1,6,6315000.0,0.8428990923651896,3944500.0,0.7363263020347209,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-07,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,1475000.0,500000.0,1177000.0,1,1,6,6315000.0,0.8428990923651896,3882000.0,0.7246593242486467,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-08,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,1725000.0,500000.0,1177000.0,1,1,6,6315000.0,0.8428990923651896,3632000.0,0.6779914131043494,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-09,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,1725000.0,500000.0,1677000.0,1,1,6,5815000.0,0.7761612386545649,3632000.0,0.6779914131043494,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-10,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,1912500.0,500000.0,1677000.0,1,1,6,5815000.0,0.7761612386545649,3444500.0,0.6429904797461266,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-11,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,750000.0,1912500.0,500000.0,1677000.0,1,1,6,5815000.0,0.7761612386545649,3444500.0,0.6429904797461266,0.0,0.0,1550000.0,0.6739130434782609,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-12,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,475000.0,1725000.0,500000.0,1677000.0,1,1,6,5815000.0,0.7761612386545649,3632000.0,0.6779914131043494,0.0,0.0,1825000.0,0.7934782608695652,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-13,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,1725000.0,500000.0,1677000.0,1,1,6,5815000.0,0.7761612386545649,3632000.0,0.6779914131043494,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-14,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,1775000.0,500000.0,1677000.0,1,1,6,5815000.0,0.7761612386545649,3582000.0,0.66865783087549,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-15,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,2075000.0,500000.0,1677000.0,1,1,6,5815000.0,0.7761612386545649,3282000.0,0.6126563375023334,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-16,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,2075000.0,500000.0,1677000.0,1,1,6,5815000.0,0.7761612386545649,3282000.0,0.6126563375023334,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-17,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,2075000.0,500000.0,1677000.0,1,1,6,5815000.0,0.7761612386545649,3282000.0,0.6126563375023334,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-18,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,2075000.0,500000.0,1677000.0,1,1,6,5815000.0,0.7761612386545649,3282000.0,0.6126563375023334,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-19,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,550000.0,2075000.0,500000.0,1677000.0,1,1,6,5815000.0,0.7761612386545649,3282000.0,0.6126563375023334,0.0,0.0,1750000.0,0.7608695652173914,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-20,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,456250.0,2075000.0,500000.0,1826479.1666666667,1,1,6,5665520.833333333,0.7562094011389927,3282000.0,0.6126563375023334,0.0,0.0,1843750.0,0.8016304347826086,3250000.0,0.785024154589372,112000.0,0.42846212700841624
2023-04-21,7492000,261400,5357000,4140000,500000,2300000,149400.0,890000.0,300000.0,2075000.0,500000.0,1852000.0,1,1,6,5640000.0,0.7528029898558463,3282000.0,0.6126563375023334,0.0,0.0,2000000.0,0.8695652173913043,3250000.0,0.785024154589372,112000.0,0.42846212700841624
