エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,認可出力（変更後）,適用開始日,稼働開始日,稼働終了日,最終更新日時
九州,日本製鉄株式会社,65739,日本製鉄㈱ 大分製鐵発電所 第9号発電設備,火力（石炭）,大分製鐵9号,330000,,,1900/1/1,9999/12/31,2025/3/19 10:47
九州,電源開発,950AA,電源開発松島火力発電所,火力（石炭）,1号機,500000,,,1900/1/1,2025/5/1,2025/3/19 10:15
九州,株式会社響灘火力発電所,H709,響灘火力発電所,その他,1号機,112000,,,2019/2/15,9999/12/31,2024/11/20 9:16
九州,九州共同発電株式会社,932PC,大分共同発電所,火力（ガス）,3号機,147000,,,1900/1/1,9999/12/31,2024/10/8 16:22
九州,九州共同発電株式会社,932PC,大分共同発電所,火力（ガス）,2号機,255000,,,1900/1/1,9999/12/31,2024/10/8 16:21
九州,九州共同発電株式会社,932PC,大分共同発電所,火力（ガス）,1号機,255000,,,1900/1/1,9999/12/31,2024/10/8 16:21
九州,九州共同発電株式会社,65749,戸畑共同発電所,火力（石炭）,2号機,156000,,,1900/1/1,9999/12/31,2024/10/1 14:19
九州,九州共同発電株式会社,65749,戸畑共同発電所,火力（ガス）,3号機,250000,,,1900/1/1,9999/12/31,2024/10/1 14:19
九州,九州共同発電株式会社,65749,戸畑共同発電所,火力（ガス）,4号機,375000,,,1900/1/1,9999/12/31,2024/10/1 14:18
九州,九州共同発電株式会社,65749,戸畑共同発電所,火力（石炭）,5号機,110000,,,1900/1/1,9999/12/31,2024/10/1 14:18
九州,九州共同発電株式会社,65749,戸畑共同発電所,火力（石炭）,6号機,149000,,,1900/1/1,9999/12/31,2024/10/1 14:17
九州,株式会社三池火力発電所,940PB,三池発電所,火力（石炭）,2号機,175000,,,1900/1/1,9999/12/31,2024/6/7 8:59
九州,九州電力株式会社,98061,川内発電所,火力（石油）,２号機,500000,,,1900/1/1,2022/4/1,2022/3/28 14:18
