Date,Time (in CET),Product,Contract Type,Contract Period,Options Type,Options Strike,Price,Volume (Lots),Volume (MWh)
2020年5月18日,8:01:58 AM,Tokyo Area Base Future,Quarter,Q3 2020,-,-,7.8,5,"11,040"
2020年5月18日,10:57:30 AM,Tokyo Area Base Future,Month,Jun-20,-,-,6.8,1,720
2020年6月10日,8:31:19 AM,Tokyo Area Base Future,Quarter,Q3 2020,-,-,7.6,5,"11,040"
2020年6月11日,9:02:07 AM,Tokyo Area Base Future,Quarter,Q3 2020,-,-,7.6,5,"11,040"
2020年6月15日,8:11:27 AM,Tokyo Area Base Future,Quarter,Q3 2020,-,-,7.5,5,"11,040"
2020年6月16日,8:30:26 AM,Tokyo Area Peak Future,Quarter,Q3 2020,-,-,9.1,5,"3,660"
2020年6月17日,8:00:13 AM,Tokyo Area Peak Future,Week,2020W26,-,-,7.15,10,600
2020年6月17日,10:31:38 AM,Tokyo Area Peak Future,Week,2020W27,-,-,7.15,10,600
2020年6月18日,8:06:33 AM,Tokyo Area Base Future,Quarter,Q3 2020,-,-,7.2,30,"66,240"
2020年6月22日,11:01:38 AM,Tokyo Area Peak Future,Week,2020W27,-,-,7.05,5,300
2020年7月13日,8:00:13 AM,Tokyo Area Peak Future,Week,2020W30,-,-,8.5,1,36
2020年8月11日,8:11:16 AM,Tokyo Area Base Future,Season,Win 2020,-,-,6.8,5,"21,840"
2020年8月13日,11:24:27 AM,Tokyo Area Peak Future,Month,Sep-20,-,-,6.75,10,"2,400"
2020年8月17日,8:32:07 AM,Tokyo Area Base Future,Month,Sep-20,-,-,6.5,5,"3,600"
2020年8月20日,11:57:14 AM,Tokyo Area Base Future,Year,Cal 2021,-,-,7.25,2,"17,520"
2020年8月27日,10:47:41 AM,Tokyo Area Base Future,Season,Win 2020,-,-,6.55,3,"13,104"
2020年9月14日,8:00:11 AM,Tokyo Area Base Future,Season,Win 2020,-,-,6.5,5,"21,840"
2020年9月17日,11:47:04 AM,Kansai Area Base Future,Month,Nov-20,-,-,5.5,5,"3,600"
2020年9月17日,11:47:57 AM,Kansai Area Base Future,Month,Oct-20,-,-,5.5,5,"3,720"
2020年9月18日,9:51:57 AM,Tokyo Area Base Future,Season,Win 2020,-,-,6.5,3,"13,104"
2020年10月6日,11:17:10 AM,Tokyo Area Base Future,Month,Dec-20,-,-,6.85,1,744
2020年10月7日,8:00:13 AM,Tokyo Area Base Future,Month,Dec-20,-,-,6.85,5,"3,720"
2020年10月7日,8:25:37 AM,Tokyo Area Base Future,Month,Dec-20,-,-,6.85,5,"3,720"
2020年10月8日,11:59:55 AM,Tokyo Area Base Future,Month,Nov-20,-,-,5.6,5,"3,600"
2020年10月15日,11:00:55 AM,Tokyo Area Base Future,Month,Nov-20,-,-,5.74,2,"1,440"
2020年10月16日,8:32:58 AM,Tokyo Area Peak Future,Month,Dec-20,-,-,8.1,15,"3,960"
2020年10月16日,9:37:25 AM,Tokyo Area Peak Future,Month,Jan-21,-,-,8.1,15,"3,420"
2020年10月16日,9:37:39 AM,Tokyo Area Peak Future,Month,Feb-21,-,-,8.1,15,"3,240"
2020年10月16日,9:43:13 AM,Tokyo Area Peak Future,Month,Dec-20,-,-,8.1,3,792
2020年10月16日,9:43:21 AM,Tokyo Area Peak Future,Month,Jan-21,-,-,8.1,3,684
